objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
Interview1,Interview.mp3,,,Interview,"Khoza, S'lindokuhle & Vhuhwavho Mudzwiri",2023-10-29,An interview representing part 1 of the assignment,Entertainment,Pretoria,,,,,Audio,mp3,eng,Non-commercial,
digitalborn1,Email screenshot.png,,,Email screenshot,"Khoza, S'lindokuhle",2023-01-06,A screenshot containing an email requesting a bursary payment,Communication,Pretoria,,,University of Pretoria,,Image,png,eng,Non-commercial,
digitalborn2,Grey minimalist business project presentation -2.pptx,,,Grey minimalist business project presentation -2,"Khoza, Slindokuhle and Mudzwiri, Vhuhwavho",2023-08-22,A PowerPoint presentation evaluating the Internet Archive repository,Academics,Pretoria,,,University of Pretoria,,PowerPoint,pptx,eng,Non-commercial,
digitalborn3,INL340 Assignment 1_Academic Poster.pdf,,,INL340 Assignment 1_Academic Poster,"Khoza, S'lindokuhle",2023-09-27,An academic poster based on The HathiTrust Digital Library,Academics,Pretoria,,,University of Pretoria,,Document,pdf,eng,Non-commercial,
digitalborn4,Practical 2 - repository.docx,,,Practical 2 - repository,"Khoza, S'lindokuhle",2022-08-22,A word document containing questions and answers of the features and materials of the Internet Archive repository,Academics,Pretoria,,,University of Pretoria,,Document,docx,eng,Non-commercial,
digitalborn5,,,,Q-consulting technologies,"Khoza, Slindokuhle; Mudzwiri, Vhuhwavho; Molefane, Masetshaba; Nyathi, Sandra and Mdebuka, Qhawe",,,,,,,University of Pretoria,https://universitypretoria.sharepoint.com/sites/Q-ConsultingTechnologies,Website,,eng,Non-commercial,
audio1,,,,Lift Me Up,"Rihanna; Tems; Coogler, Ryan and Goransson, Ludwig",2022-10-28,"A song titled, Lift Me Up by Rihanna created as a soundtrack for the marvel movie, Black Panther",Music,United States,,,Spotify,https://open.spotify.com/track/35ovElsgyAtQwYPYnZJECg?si=8fdb9372439e4e34,Audio,mp3,eng,"Westbury Road, Roc Nation, Def Jam, and Hollywood Records",
audio2,,,,Africa Toto,"Paitch, David; Porcaro, Jeff",1982-10-30,"A song titled, 'Africa Toto' by David Paitch that expresses a man's love of the continent, Afriica, and its people",Music,United States,,,YouTube,https://Toto.lnk.to/listenYD,Video,mp4,eng,commercial use,
audio3,,,,"Candice Modiselle ON: Pivoting into something New, Getting Baptized and having a deeper Relationship with God","Ledwaba, Mpoomy; Candice Modiselle",2023-07-12,A pocast episode featuring the actress Candice Modiselle as she dives deep into her journey with her relationship with God, Health and Wellness,South Africa,,,Podcasts,https://podcasts.apple.com/za/podcast/wisdom-wellness-with-mpoomy-ledwaba/id1557108532?i=1000620852040,Audio,mp3,eng,Wisdom & Wellness,
audio4,,,,"Ayanda Borotho ON: Being a young mother, and finding herself again","Ledwaba, Mpoomy; Ayanda Borotho",2023-08-02,"A podcast episode featuring the author and actress, Ayanda Borotho, where she gives insights into her journey as a young mother and how she found herself",Health and Wellness,South Africa,,,Podcasts,"Wisdom & Wellness with Mpoomy Ledwaba: Ayanda Borotho ON: Being a young mother, and finding herself again on Apple Podcasts",Audio,mp3,eng,Wisdom & Wellness,
digitisedartefacts1,Due Dates Original.jpg,,,Due Dates Original,"Khoza, S'lindokuhle",2023-10-30,An original image of text containing different modules with their due dates and tasks,Photograohy,Pretoria,,,,,Text,,eng,Non-commercial,
digitisedarefactcs2,Due Dates Scanned.jpg,,,Due Dates Scanned,"Khoza, S'lindokuhle",2023-10-30,A scanned image of the text containing different modules with their due dates and tasks,,Pretoria,,,Scan,,Image,jpg,eng,Non-commercial,
digitisedartefacts3,Journal Entry original.jpg,,,Journal Entry Original,"Khoza, S'lindokuhle",2023-10-30,An original image of a journal entry containing affirmations,Photography,,,,,,Image,jpg,eng,Non-commercial,
digitisedartefacts4,Journal Entry Scan.jpg,,,Journal Entry Scan,"Khoza, S'lindokuhle",2023-10-30,A scanned image of a journal entry containing affirmations,,,,,,,Image,jpg,eng,Non-commercial,
digitisedartefacts5,Polaroid 1 Original.jpg,,,Polaroid 1 Original,"Khoza, S'lindokuhle",2023-10-30,A picture of a gate taken with a polaroid camera,Photography,,,,Polaroid Camera,,Image,,eng,Non-commercial,
digitisedartefacts6,Polaroid 1 Scan.jpg,,,Polaroid 1 Scan,"Khoza, S'lindokuhle",2023-10-30,"A scanned image of a picture showing a gate, taken with a polaroid camera",,,,,Scan,,Image,jpg,eng,Non-commercial,
digitisedzartefacts7,Polaroid 2 Original.jpg,,,Polaroid 2 Original,"Khoza, S'lindokuhle",2023-10-30,A picture of a computer taken with a polaroid camera,Photography,,,,Polariod Camera,,Image,,eng,Non-commercial,
digitisedaretfacts8,Polaroid 2 Scan.jpg,,,Polaroid 2 Scan,"Khoza, S'lindokuhle",2023-10-30,"A scanned image of a picture containing a computer, taken with a polaroid camera",,,,,Scan,,Image,jpg,eng,Non-commercial,
digitised aretefacts9,Poster original image.jpg,,,Poster original image,"Khoza, S'lindokuhle",2023-10-30,An original image of a poster containing 17 success principles,Photography,,,,Scan,,Text,,eng,Non-commercial,
digitisedaretfacts10,Poster Scan.jpg,,,Poster Scan,"Khoza, S'lindokuhle",2023-10-30,A scanned image of a poster containing 17 success principles,,,,,,,Image,jpg,eng,Non-commercial,
audio 5,relaxed-vlog-night-street-131746.mp3,,,Relaxed vlog night ,Alex Grohl,2023-03-09,A relaxed audio that can be utilised for vlogs,Audio content,,,,Pixabay,,Audio,audio/mp3,eng,Non-commercial,
audio 6,for-future-bass-159125.mp3,,,For future bass,Dmitrii Kolesnikov,2023-09,Music that is unbeat and catchy,Audio content,,,,Pixabay,,Audio,audio/mp3,eng,Non-commercial,
audio 7,New recording 18 ,,,New recording 18,Vhuhwavho Mudzwiri,2023-10-24,A voice recording used for a practical ,,Pretoria,,,Voice Note,,Audio,audio/mp3,eng,Non-commercial,
audio 8,Global News Podcast ,,,Global News Podcast - BBC Podcasts,BBC news,2023,News podcast to help keep up with the latest news,News updates,Global,,,Podcasts,https://podcasts.apple.com/za/podcast/global-news-podcast/id135067274,Sound,audio/mp3,eng,BBC Copyright,
digitalborn6,Individual plagarisim form(1)-2.docx,,,Individual plagiarism form,Vhuhwavho Mudzwiri,2023-10-18,Plagiarism form used for assignment submissions,Academics,,,,,,Text,docx,eng,Non-commercial,
digitalborn7,INL 380 Individual assignment 3 Final.pdf,,,INL 380 Individual assignment 3 Final ,Vhuhwavho Mudzwiri,2023-10-19,Final individual assigment completed for 380,Academics,,,,,,Text,application/pdf,eng,Non-commercial,
digitalborn8,cake.jpg,,,Cake,Vhuhwavho Mudzwiri,2023-10-15,An image of a cake from the rock diner,Food,Pretoria,,,Digital camera,,Image;StillImage,image/jpeg,eng,Non-commercial,
digitalborn9,roses.mov,,,Roses,Vhuhwavho Mudzwiri,2023-07-23,Woolworth roses,Flowers,Midrand,,,Video,,Video,video/mpeg,eng,Non-commercial,
digitalborn10,Black and white Geometric Company profile cover documnet-2.pdf,,,Black and white Geometric Company profile cover documnet,Vhuhwavho Mudzwiri,2023-10-19,Cover page ,Business,,,,,,Text,application/pdf,eng,Non-commercial,
digitisedartefacts11,Photo Original.pdf,,,Photo original,Vhuhwavho Mudzwiri,2021-04-26,Captured using a Polaroid camera,Photography,Midrand,,,Polariod camera,,Image;StillImage,application/pdf,eng,Non-commercial,
digitisedartefacts12,Photo Scan.pdf,,,Photo Scan,Vhuhwavho Mudzwiri,2021-04-26,A scanned image captured using a Polariod camera ,,Midrand,,,,,Image;StillImage,application/pdf,eng,Non-commercial,
digitisedartefacts13,Planner Original.pdf,,,Planner original,University of Pretoria,2023-10-30,UP year planner,Photography,Pretoria,,,Scan,,Image;StillImage,application/pdf,eng,Non-commercial,
digitisedartefacts15,Planner Scan.pdf,,,Planner scan,University of Pretoria,2023-10-30,,,Pretoria,,,Scan,,Image;StillImage,application/pdf,eng,Non-commercial,
digitisedaretfacts16,Dr. F.M. Visser Original.pdf,,,Dr. F.M. Visser original,Dr. F.M. Visser,2022-04-30,Sick note,Health,Midrand,,,Scan,,Image;StillImage,application/pdf,eng,Non-commercial,
digitisedaretfacts17,Dr. F.M. Visser Scan.pdf,,,Dr. F.M. Visser scan,Dr. F.M. Visser,2022-04-30,Scanned sick note,,Midrand,,,Scan,,Image;StillImage,image/jpeg,eng,Non-commercial,
digitisedaretfacts18,Transaction.record original.pdf,,,Transaction record original,Vhuhwavho Mudzwiri,2021-02-26,Absa bank transaction record ,Finance,Midrand,,,Scan,,Image;StillImage,application/pdf,eng,Non-commercial,
digitisedaretfacts19,Transaction.record scan.pdf,,,Transaction record scan ,Vhuhwavho Mudzwiri,2021-02-26,A scan of Absa bank transaction record,,Midrand,,,Scan,,Image;StillImage,application/pdf,eng,Non-commercial,
digitisedartfacts20,Notes orginal.pdf,,,Notes orginial ,Vhuhwavho Mudzwiri,2023-10-30,INL 380 notes ,Academics,Pretoria,,,Scan,,Image;StillImage,application/pdf,eng,Non-commercial,
digitisedartfacts21,Notes scan.pdf,,,Notes scan,Vhuhwavho Mudzwiri,2023-10-30,Scanned INL 380 Notes,,Pretoria,,,Scan ,,Image;StillImage,application/pdf,eng,Non-commercial,